Товар;Единица измерения;Вес ЕдИзм(Кг);Группа товаров;Количество;Цена;Предоплата;Продавец;Город;Банк
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;29;30,15;0,1;Единство;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;11;28,79;0,1;Единство;Ангарск;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;138;25,92;0,1;Единство;Ангарск;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;76;76,14;0,1;Единство;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;8;222,19;0,1;Единство;Ангарск;Надежный
Рис;Мешок;50;Крупы;9;215,29;0,1;Единство;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;14;204,52;0,1;Единство;Ангарск;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;66;76,19;0,1;Единство;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;43;36,68;0,8;Единство;Ангарск;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;17;19,02;0,8;Единство;Ангарск;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;277;62,29;0,8;Единство;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;34;479,45;0,8;Единство;Ангарск;Надежный
Крупа перловая;Мешок;50;Крупы;15;185,1;0,8;Единство;Ангарск;Надежный
Пшено;Мешок;50;Крупы;23;330,02;0,8;Единство;Ангарск;Надежный
Рис;Мешок;50;Крупы;6;333,7;0,8;Единство;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;20;111,06;0,8;Единство;Ангарск;Надежный
Гречка;Мешок;50;Крупы;23;455,27;0,4;Единство;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;63;23,37;0,4;Единство;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;15;17,22;0,4;Единство;Ангарск;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;36;9,16;0,4;Единство;Ангарск;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;18;56,01;0,4;Единство;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;56;395,62;0,4;Единство;Ангарск;Надежный
Крупа перловая;Мешок;50;Крупы;129;137,01;0,4;Единство;Ангарск;Надежный
Овсянка;Мешок;20;Крупы;11;323,88;0,4;Единство;Ангарск;Надежный
Пшено;Мешок;50;Крупы;16;317,07;0,4;Единство;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;70;190,65;0,4;Единство;Ангарск;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;21;89,47;0,4;Единство;Ангарск;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;19;25,27;0,6;Единство;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;15;376,3;0,6;Единство;Ангарск;Надежный
Пшено;Мешок;50;Крупы;20;193,06;0,6;Единство;Ангарск;Надежный
Сигареты LM;Блок;0,2;Табачные изделия;147;85,52;0,6;Единство;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;67;201,16;0,6;Единство;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;24;37,47;1;Единство;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;23;19,58;1;Единство;Ангарск;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;165;45,37;1;Единство;Ангарск;Надежный
Овсянка;Мешок;20;Крупы;18;423,74;1;Единство;Ангарск;Надежный
Рис;Мешок;50;Крупы;185;228,76;1;Единство;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;7;86,78;1;Единство;Ангарск;Надежный
Сигареты LM;Блок;0,2;Табачные изделия;84;83,3;1;Единство;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;18;88,13;1;Единство;Ангарск;Надежный
Гречка;Мешок;50;Крупы;9;220,09;0,2;Единство;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;64;43,98;0,2;Единство;Ангарск;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;167;46,52;0,2;Единство;Ангарск;Надежный
Овсянка;Мешок;20;Крупы;8;204,78;0,2;Единство;Ангарск;Надежный
Пшено;Мешок;50;Крупы;227;323,8;0,2;Единство;Ангарск;Надежный
Рис;Мешок;50;Крупы;13;365,11;0,2;Единство;Ангарск;Надежный
Сигареты LM;Блок;0,2;Табачные изделия;6;152,96;0,2;Единство;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;19;59,29;0,4;Ромашка;Шелехов;Гарант
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;81;47,13;0,4;Ромашка;Шелехов;Гарант
Крупа манная;Мешок;50;Крупы;9;431,37;0,4;Ромашка;Шелехов;Гарант
Пшено;Мешок;50;Крупы;8;275,39;0,4;Ромашка;Шелехов;Гарант
Рис;Мешок;50;Крупы;19;402,39;0,4;Ромашка;Шелехов;Гарант
Сигареты Fine Line;Блок;0,2;Табачные изделия;6;229,98;0,4;Ромашка;Шелехов;Гарант
Сигареты LM;Блок;0,2;Табачные изделия;45;96,37;0,4;Ромашка;Шелехов;Гарант
Сигареты MarlBoro;Блок;0,2;Табачные изделия;31;202,04;0,4;Ромашка;Шелехов;Гарант
Сигареты Петр 1;Блок;0,2;Табачные изделия;19;58,24;0,4;Ромашка;Шелехов;Гарант
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;20;47,08;0,1;Ромашка;Шелехов;Гарант
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;47;30,83;0,1;Ромашка;Шелехов;Гарант
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;193;50,63;0,1;Ромашка;Шелехов;Гарант
Крупа манная;Мешок;50;Крупы;39;208,22;0,1;Ромашка;Шелехов;Гарант
Крупа перловая;Мешок;50;Крупы;37;326,14;0,1;Ромашка;Шелехов;Гарант
Овсянка;Мешок;20;Крупы;17;513,99;0,1;Ромашка;Шелехов;Гарант
Пшено;Мешок;50;Крупы;28;232,93;0,1;Ромашка;Шелехов;Гарант
Рис;Мешок;50;Крупы;82;432,43;0,1;Ромашка;Шелехов;Гарант
Сигареты MarlBoro;Блок;0,2;Табачные изделия;11;170,98;0,1;Ромашка;Шелехов;Гарант
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;6;41,66;0,2;Ромашка;Шелехов;Гарант
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;9;21,95;0,2;Ромашка;Шелехов;Гарант
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;7;15,45;0,2;Ромашка;Шелехов;Гарант
Овсянка;Мешок;20;Крупы;57;208,48;0,2;Ромашка;Шелехов;Гарант
Пшено;Мешок;50;Крупы;63;132,73;0,2;Ромашка;Шелехов;Гарант
Сигареты Fine Line;Блок;0,2;Табачные изделия;154;127,22;0,2;Ромашка;Шелехов;Гарант
Сигареты LM;Блок;0,2;Табачные изделия;45;126,7;0,2;Ромашка;Шелехов;Гарант
Гречка;Мешок;50;Крупы;21;328,47;0,3;Ромашка;Шелехов;Гарант
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;18;15,16;0,3;Ромашка;Шелехов;Гарант
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;5;59,66;0,3;Ромашка;Шелехов;Гарант
Крупа манная;Мешок;50;Крупы;16;287,53;0,3;Ромашка;Шелехов;Гарант
Овсянка;Мешок;20;Крупы;10;350,51;0,3;Ромашка;Шелехов;Гарант
Рис;Мешок;50;Крупы;8;256,03;0,3;Ромашка;Шелехов;Гарант
Сигареты MarlBoro;Блок;0,2;Табачные изделия;9;112,83;0,3;Ромашка;Шелехов;Гарант
Сигареты Петр 1;Блок;0,2;Табачные изделия;259;76,65;0,3;Ромашка;Шелехов;Гарант
Гречка;Мешок;50;Крупы;43;369,07;0,4;Ромашка;Шелехов;Гарант
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;45;46,14;0,4;Ромашка;Шелехов;Гарант
Крупа манная;Мешок;50;Крупы;16;488,08;0,4;Ромашка;Шелехов;Гарант
Крупа перловая;Мешок;50;Крупы;31;220,85;0,4;Ромашка;Шелехов;Гарант
Сигареты LM;Блок;0,2;Табачные изделия;42;131,01;0,4;Ромашка;Шелехов;Гарант
Сигареты Петр 1;Блок;0,2;Табачные изделия;16;47,32;0,4;Ромашка;Шелехов;Гарант
Гречка;Мешок;50;Крупы;14;460,58;0,1;Ромашка;Шелехов;Гарант
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;22;26,82;0,1;Ромашка;Шелехов;Гарант
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;72;22,29;0,1;Ромашка;Шелехов;Гарант
Крупа перловая;Мешок;50;Крупы;15;303,95;0,1;Ромашка;Шелехов;Гарант
Овсянка;Мешок;20;Крупы;19;310,19;0,1;Ромашка;Шелехов;Гарант
Рис;Мешок;50;Крупы;7;431,74;0,1;Ромашка;Шелехов;Гарант
Сигареты Fine Line;Блок;0,2;Табачные изделия;73;96,61;0,1;Ромашка;Шелехов;Гарант
Сигареты LM;Блок;0,2;Табачные изделия;15;144,21;0,1;Ромашка;Шелехов;Гарант
Сигареты Петр 1;Блок;0,2;Табачные изделия;11;81,38;0,1;Ромашка;Шелехов;Гарант
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;22;16,7;0,2;Ромашка;Шелехов;Гарант
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;22;88,13;0,2;Ромашка;Шелехов;Гарант
Крупа манная;Мешок;50;Крупы;11;459,73;0,2;Ромашка;Шелехов;Гарант
Овсянка;Мешок;20;Крупы;8;444,45;0,2;Ромашка;Шелехов;Гарант
Пшено;Мешок;50;Крупы;9;335,97;0,2;Ромашка;Шелехов;Гарант
Рис;Мешок;50;Крупы;21;205,63;0,2;Ромашка;Шелехов;Гарант
Сигареты MarlBoro;Блок;0,2;Табачные изделия;246;166,24;0,2;Ромашка;Шелехов;Гарант
Гречка;Мешок;50;Крупы;185;322,22;0,7;Ромашка;Шелехов;Гарант
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;18;23,95;0,7;Ромашка;Шелехов;Гарант
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;62;29,68;0,7;Ромашка;Шелехов;Гарант
Крупа перловая;Мешок;50;Крупы;7;179,67;0,7;Ромашка;Шелехов;Гарант
Овсянка;Мешок;20;Крупы;173;405,62;0,7;Ромашка;Шелехов;Гарант
Сигареты Fine Line;Блок;0,2;Табачные изделия;102;84,9;0,7;Ромашка;Шелехов;Гарант
Сигареты LM;Блок;0,2;Табачные изделия;7;110,92;0,7;Ромашка;Шелехов;Гарант
Сигареты MarlBoro;Блок;0,2;Табачные изделия;44;129,25;0,7;Ромашка;Шелехов;Гарант
Сигареты Петр 1;Блок;0,2;Табачные изделия;280;97,56;0,7;Ромашка;Шелехов;Гарант
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;34;36,32;0,5;Ромашка;Шелехов;Гарант
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;138;22,65;0,5;Ромашка;Шелехов;Гарант
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;11;68,64;0,5;Ромашка;Шелехов;Гарант
Пшено;Мешок;50;Крупы;7;347,36;0,5;Ромашка;Шелехов;Гарант
Сигареты LM;Блок;0,2;Табачные изделия;10;153,33;0,5;Ромашка;Шелехов;Гарант
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;67;31,71;0,4;Тор;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;130;41,12;0,4;Тор;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;60;20,9;0,4;Тор;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;16;125,42;0,4;Тор;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;197;530,26;0,4;Тор;Иркутск;Универсал
Пшено;Мешок;50;Крупы;7;345,03;0,4;Тор;Иркутск;Универсал
Рис;Мешок;50;Крупы;15;395,49;0,4;Тор;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;11;170,79;0,4;Тор;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;7;95,32;0,4;Тор;Иркутск;Универсал
Гречка;Мешок;50;Крупы;16;349,39;0,1;Тор;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;101;33,13;0,1;Тор;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;133;11,22;0,1;Тор;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;61;33,76;0,1;Тор;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;29;213,15;0,1;Тор;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;19;312,82;0,1;Тор;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;5;432,62;0,1;Тор;Иркутск;Универсал
Пшено;Мешок;50;Крупы;52;363,42;0,1;Тор;Иркутск;Универсал
Рис;Мешок;50;Крупы;70;469,71;0,1;Тор;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;95;161,11;0,1;Тор;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;16;42,23;0,7;Тор;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;20;25,5;0,7;Тор;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;146;20,1;0,7;Тор;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;30;317,95;0,7;Тор;Иркутск;Универсал
Рис;Мешок;50;Крупы;18;456,25;0,7;Тор;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;36;138,31;0,7;Тор;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;15;67,52;0,7;Тор;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;17;51,59;0,7;Тор;Иркутск;Универсал
Гречка;Мешок;50;Крупы;9;245,07;0,1;Тор;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;15;20,08;0,1;Тор;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;31;432,19;0,1;Тор;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;64;300;0,1;Тор;Иркутск;Универсал
Рис;Мешок;50;Крупы;59;179,05;0,1;Тор;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;54;22,29;0,8;Тор;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;8;377,51;0,8;Тор;Иркутск;Универсал
Пшено;Мешок;50;Крупы;17;382,57;0,8;Тор;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;36;182,04;0,8;Тор;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;17;131,75;0,8;Тор;Иркутск;Универсал
Гречка;Мешок;50;Крупы;212;232,89;1;Тор;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;23;43,06;1;Тор;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;199;310,96;1;Тор;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;11;410,42;1;Тор;Иркутск;Универсал
Пшено;Мешок;50;Крупы;64;194,35;1;Тор;Иркутск;Универсал
Рис;Мешок;50;Крупы;5;431,74;1;Тор;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;8;125,82;1;Тор;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;15;84,78;1;Тор;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;10;32,12;0,3;Тор;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;201;20,1;0,3;Тор;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;10;213,15;0,3;Тор;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;65;301,97;0,3;Тор;Иркутск;Универсал
Пшено;Мешок;50;Крупы;27;223,09;0,3;Тор;Иркутск;Универсал
Рис;Мешок;50;Крупы;64;431,74;0,3;Тор;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;50;207,67;0,3;Тор;Иркутск;Универсал
Гречка;Мешок;50;Крупы;28;164,49;0,7;Тор;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;14;42,36;0,7;Тор;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;37;39,18;0,7;Тор;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;119;10,19;0,7;Тор;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;33;225,78;0,7;Тор;Иркутск;Универсал
Пшено;Мешок;50;Крупы;12;268,66;0,7;Тор;Иркутск;Универсал
Рис;Мешок;50;Крупы;30;394,8;0,7;Тор;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;14;225,92;0,7;Тор;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;9;46,38;0,4;Тор;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;62;254,38;0,4;Тор;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;70;434,84;0,4;Тор;Иркутск;Универсал
Пшено;Мешок;50;Крупы;24;339,08;0,4;Тор;Иркутск;Универсал
Рис;Мешок;50;Крупы;21;318,85;0,4;Тор;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;47;153,61;0,4;Тор;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;50;78;0,4;Тор;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;17;77,17;0,4;Тор;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;33;27,44;0,5;Гермес;Ангарск;Богатырский
Крупа манная;Мешок;50;Крупы;18;210,68;0,5;Гермес;Ангарск;Богатырский
Крупа перловая;Мешок;50;Крупы;13;228;0,5;Гермес;Ангарск;Богатырский
Овсянка;Мешок;20;Крупы;137;486,99;0,5;Гермес;Ангарск;Богатырский
Рис;Мешок;50;Крупы;183;402,39;0,5;Гермес;Ангарск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;5;72,08;0,5;Гермес;Ангарск;Богатырский
Сигареты Петр 1;Блок;0,2;Табачные изделия;24;32,72;0,5;Гермес;Ангарск;Богатырский
Гречка;Мешок;50;Крупы;42;350,95;0,2;Гермес;Ангарск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;59;27,81;0,2;Гермес;Ангарск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;37;20,57;0,2;Гермес;Ангарск;Богатырский
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;20;16,27;0,2;Гермес;Ангарск;Богатырский
Крупа перловая;Мешок;50;Крупы;58;177,45;0,2;Гермес;Ангарск;Богатырский
Овсянка;Мешок;20;Крупы;42;250,27;0,2;Гермес;Ангарск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;20;109,73;0,2;Гермес;Ангарск;Богатырский
Гречка;Мешок;50;Крупы;21;279,74;0,8;Гермес;Ангарск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;32;30,15;0,8;Гермес;Ангарск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;86;45,42;0,8;Гермес;Ангарск;Богатырский
Крупа манная;Мешок;50;Крупы;22;614,25;0,8;Гермес;Ангарск;Богатырский
Пшено;Мешок;50;Крупы;14;173,64;0,8;Гермес;Ангарск;Богатырский
Рис;Мешок;50;Крупы;11;455,56;0,8;Гермес;Ангарск;Богатырский
Сигареты Fine Line;Блок;0,2;Табачные изделия;16;130,97;0,8;Гермес;Ангарск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;88;95,38;0,8;Гермес;Ангарск;Богатырский
Сигареты Петр 1;Блок;0,2;Табачные изделия;9;59,16;0,8;Гермес;Ангарск;Богатырский
Гречка;Мешок;50;Крупы;22;419,67;0,9;Гермес;Ангарск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;13;59,78;0,9;Гермес;Ангарск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;37;17,48;0,9;Гермес;Ангарск;Богатырский
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;41;10,28;0,9;Гермес;Ангарск;Богатырский
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;18;63,06;0,9;Гермес;Ангарск;Богатырский
Крупа манная;Мешок;50;Крупы;8;377,12;0,9;Гермес;Ангарск;Богатырский
Крупа перловая;Мешок;50;Крупы;22;242,55;0,9;Гермес;Ангарск;Богатырский
Овсянка;Мешок;20;Крупы;26;212,55;0,9;Гермес;Ангарск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;22;48,81;0,9;Гермес;Ангарск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;51;28,72;0,9;Гермес;Ангарск;Богатырский
Крупа манная;Мешок;50;Крупы;13;470,82;0,9;Гермес;Ангарск;Богатырский
Крупа перловая;Мешок;50;Крупы;65;186,82;0,9;Гермес;Ангарск;Богатырский
Овсянка;Мешок;20;Крупы;12;198,12;0,9;Гермес;Ангарск;Богатырский
Сигареты Fine Line;Блок;0,2;Табачные изделия;13;183,13;0,9;Гермес;Ангарск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;118;98,04;0,9;Гермес;Ангарск;Богатырский
Сигареты Петр 1;Блок;0,2;Табачные изделия;12;66,98;0,9;Гермес;Ангарск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;15;41,15;0,6;Гермес;Ангарск;Богатырский
Овсянка;Мешок;20;Крупы;84;476,63;0,6;Гермес;Ангарск;Богатырский
Рис;Мешок;50;Крупы;49;174,9;0,6;Гермес;Ангарск;Богатырский
Сигареты Fine Line;Блок;0,2;Табачные изделия;61;110,04;0,6;Гермес;Ангарск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;13;143,84;0,6;Гермес;Ангарск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;198;116,83;0,6;Гермес;Ангарск;Богатырский
Сигареты Петр 1;Блок;0,2;Табачные изделия;24;69,15;0,6;Гермес;Ангарск;Богатырский
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;55;62,29;1;Гермес;Ангарск;Богатырский
Крупа манная;Мешок;50;Крупы;7;240,68;1;Гермес;Ангарск;Богатырский
Овсянка;Мешок;20;Крупы;41;329,05;1;Гермес;Ангарск;Богатырский
Рис;Мешок;50;Крупы;5;363,04;1;Гермес;Ангарск;Богатырский
Сигареты Fine Line;Блок;0,2;Табачные изделия;58;105,52;1;Гермес;Ангарск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;37;141,53;1;Гермес;Ангарск;Богатырский
Гречка;Мешок;50;Крупы;16;450,59;0,2;Гермес;Ангарск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;63;43,48;0,2;Гермес;Ангарск;Богатырский
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;75;13,68;0,2;Гермес;Ангарск;Богатырский
Крупа перловая;Мешок;50;Крупы;29;301,97;0,2;Гермес;Ангарск;Богатырский
Рис;Мешок;50;Крупы;16;480,41;0,2;Гермес;Ангарск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;11;204,26;0,2;Гермес;Ангарск;Богатырский
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;8;21,2;0,2;Гермес;Ангарск;Богатырский
Крупа манная;Мешок;50;Крупы;16;328,63;0,2;Гермес;Ангарск;Богатырский
Крупа перловая;Мешок;50;Крупы;41;177,45;0,2;Гермес;Ангарск;Богатырский
Рис;Мешок;50;Крупы;87;494,91;0,2;Гермес;Ангарск;Богатырский
Сигареты Fine Line;Блок;0,2;Табачные изделия;18;137,22;0,2;Гермес;Ангарск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;19;133,23;0,2;Гермес;Ангарск;Богатырский
Сигареты Петр 1;Блок;0,2;Табачные изделия;19;56,2;0,2;Гермес;Ангарск;Богатырский
Гречка;Мешок;50;Крупы;13;427,47;0,5;Гермес;Ангарск;Богатырский
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;5;41,78;0,5;Гермес;Ангарск;Богатырский
Крупа перловая;Мешок;50;Крупы;46;297,29;0,5;Гермес;Ангарск;Богатырский
Пшено;Мешок;50;Крупы;36;239,4;0,5;Гермес;Ангарск;Богатырский
Рис;Мешок;50;Крупы;14;352,34;0,5;Гермес;Ангарск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;12;104,51;0,5;Гермес;Ангарск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;6;220,24;0,5;Гермес;Ангарск;Богатырский
Гречка;Мешок;50;Крупы;23;349,39;0,4;Гермес;Ангарск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;21;28,51;0,4;Гермес;Ангарск;Богатырский
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;6;19,02;0,4;Гермес;Ангарск;Богатырский
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;18;73,32;0,4;Гермес;Ангарск;Богатырский
Пшено;Мешок;50;Крупы;32;189,95;0,4;Гермес;Ангарск;Богатырский
Рис;Мешок;50;Крупы;18;431,74;0,4;Гермес;Ангарск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;18;80,47;0,4;Гермес;Ангарск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;50;155,44;0,4;Гермес;Ангарск;Богатырский
Сигареты Петр 1;Блок;0,2;Табачные изделия;70;47,32;0,4;Гермес;Ангарск;Богатырский
Гречка;Мешок;50;Крупы;268;246,95;0,4;Гермес;Ангарск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;25;41,66;0,4;Гермес;Ангарск;Богатырский
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;19;89,99;0,4;Гермес;Ангарск;Богатырский
Крупа манная;Мешок;50;Крупы;180;605,21;0,4;Гермес;Ангарск;Богатырский
Пшено;Мешок;50;Крупы;76;307,49;0,4;Гермес;Ангарск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;6;61,36;0,4;Гермес;Ангарск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;41;155,59;0,4;Гермес;Ангарск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;17;43,92;0,5;Гермес;Ангарск;Богатырский
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;16;87,74;0,5;Гермес;Ангарск;Богатырский
Крупа перловая;Мешок;50;Крупы;16;187,32;0,5;Гермес;Ангарск;Богатырский
Рис;Мешок;50;Крупы;44;316,78;0,5;Гермес;Ангарск;Богатырский
