Товар,Единица_измерения,Количество_в_упаковке,Группа_товаров,Количество,Цена,Предоплата,Продавец,Город,Банк,Сумма
Сигареты LM,Блок,"0,2",Табачные изделия,18,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,50,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,70,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,268,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,25,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,19,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,180,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Пшено,Мешок,50,Крупы,76,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,6,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,41,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,17,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,16,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,16,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Рис,Мешок,50,Крупы,44,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,16,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,11,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,86,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,44,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,18,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Овсянка,Мешок,20,Крупы,27,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Пшено,Мешок,50,Крупы,7,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Рис,Мешок,50,Крупы,9,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,5,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,18,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,10,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,33,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Овсянка,Мешок,20,Крупы,92,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Пшено,Мешок,50,Крупы,28,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,53,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,5,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,18,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,11,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,5,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Крупа манная,Мешок,50,Крупы,12,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Овсянка,Мешок,20,Крупы,50,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Пшено,Мешок,50,Крупы,188,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,184,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,23,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,104,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,35,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,91,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Крупа манная,Мешок,50,Крупы,16,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,150,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Пшено,Мешок,50,Крупы,44,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,7,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,14,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,5,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,7,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Пшено,Мешок,50,Крупы,66,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,18,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,29,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,7,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,18,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,9,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Крупа манная,Мешок,50,Крупы,19,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,11,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Пшено,Мешок,50,Крупы,82,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,12,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,36,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Гречка,Мешок,50,Крупы,33,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,116,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,13,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Крупа манная,Мешок,50,Крупы,36,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Овсянка,Мешок,20,Крупы,5,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Пшено,Мешок,50,Крупы,32,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,5,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,53,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,5,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Гречка,Мешок,50,Крупы,43,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,100,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,25,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Крупа манная,Мешок,50,Крупы,23,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Овсянка,Мешок,20,Крупы,10,0.0,0.0,Фокус,Слюдянка,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,85,180.0,0.0,Фокус,Слюдянка,Надежный,15300.0
Гречка,Мешок,50,Крупы,155,0.0,0.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,23,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,11,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,13,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Овсянка,Мешок,20,Крупы,22,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,29,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Рис,Мешок,50,Крупы,24,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,22,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,30,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,127,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,6,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Гречка,Мешок,50,Крупы,37,0.0,0.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,23,0.0,0.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,17,0.0,0.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,5,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Овсянка,Мешок,20,Крупы,72,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,20,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,93,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Гречка,Мешок,50,Крупы,6,0.0,1.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,34,0.0,1.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,65,0.0,1.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,17,22.0,1.0,Плюс,Ангарск,Надежный,374.0
Рис,Мешок,50,Крупы,29,0.0,1.0,Плюс,Ангарск,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,9,0.0,1.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,197,0.0,0.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,26,0.0,0.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,34,0.0,0.0,Плюс,Ангарск,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,16,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,24,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,29,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Рис,Мешок,50,Крупы,93,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,19,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,17,0.0,0.0,Плюс,Ангарск,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,236,0.0,0.0,Плюс,Ангарск,Надежный,0.0
